Scenario,Baseline_Scenario,period,gen_energy_source,Energy_GWh_typical_yr,Energy_GWh_typical_yr_Baseline,Delta_AnnualGen_GWh,AnnualGen_perc_change_from_baseline
CESM1-CAM5,Baseline no CC,2035,Gas,314250.1899,311595.2392,2654.950615,0.009
CESM1-CAM5,Baseline no CC,2035,Geothermal,2322.31,2322.31,0,0
CESM1-CAM5,Baseline no CC,2035,Oil,0.0549121,0,0.0549121,Inf
CESM1-CAM5,Baseline no CC,2035,Solar,330719.8996,370963.234,-40243.33444,-0.108
CESM1-CAM5,Baseline no CC,2035,Uranium,42763,42763,0,0
CESM1-CAM5,Baseline no CC,2035,Waste Heat,375.3544,373.5922,1.7622,0.005
CESM1-CAM5,Baseline no CC,2035,Water,237435.6209,240572.7791,-3137.1582,-0.013
CESM1-CAM5,Baseline no CC,2035,Wind,236754.6655,183113.07,53641.59547,0.293
CESM1-CAM5,Baseline no CC,2040,Battery Storage,81568.7505,60300.34808,21268.40242,0.353
CESM1-CAM5,Baseline no CC,2040,Biomass,16668.9877,16557.7686,111.2191,0.007
CESM1-CAM5,Baseline no CC,2040,Gas,213905.9625,217326.721,-3420.758454,-0.016
CESM1-CAM5,Baseline no CC,2040,Solar,482004.5164,444994.35,37010.16638,0.083
CESM1-CAM5,Baseline no CC,2040,Uranium,42880,42880,0,0
CESM1-CAM5,Baseline no CC,2040,Waste Heat,128.1563,147.3505,-19.1942,-0.13
CESM1-CAM5,Baseline no CC,2040,Water,225091.0615,241236.2242,-16145.1627,-0.067
CESM1-CAM5,Baseline no CC,2040,Wind,325665.9815,323499.462,2166.519532,0.007
CESM1-CAM5,Baseline no CC,2045,Battery Storage,202756.482,174976.884,27779.59798,0.159
CESM1-CAM5,Baseline no CC,2045,Biomass,16537.7755,16448.4871,89.2884,0.005
CESM1-CAM5,Baseline no CC,2045,Gas,93278.90085,93571.69649,-292.7956408,-0.003
CESM1-CAM5,Baseline no CC,2045,Solar,677037.1616,617190.51,59846.6516,0.097
CESM1-CAM5,Baseline no CC,2045,Uranium,42763,42763,0,0
CESM1-CAM5,Baseline no CC,2045,Waste Heat,106.3161,110.882,-4.5659,-0.041
CESM1-CAM5,Baseline no CC,2045,Water,232035.2688,240572.7791,-8537.5103,-0.035
CESM1-CAM5,Baseline no CC,2045,Wind,399837.0161,427622.521,-27785.50493,-0.065
CESM1-CAM5,Baseline no CC,2050,Battery Storage,362132.0309,327780.741,34351.28993,0.105
CESM1-CAM5,Baseline no CC,2050,Biomass,15380.8145,15343.5411,37.2734,0.002
CESM1-CAM5,Baseline no CC,2050,Solar,916024.5899,866977.566,49047.02384,0.057
CESM1-CAM5,Baseline no CC,2050,Uranium,42763,42763,0,0
CESM1-CAM5,Baseline no CC,2050,Waste Heat,32.2743,31.433,0.8413,0.027
CESM1-CAM5,Baseline no CC,2050,Water,253626.1776,240572.7791,13053.3985,0.054
CESM1-CAM5,Baseline no CC,2050,Wind,413459.805,450457.851,-36998.04598,-0.082
CMCC-CM,Baseline no CC,2030,Battery Storage,1941.365469,412.3679,1528.997569,3.708
CMCC-CM,Baseline no CC,2030,Biomass,15608.456,14944.9666,663.4894,0.044
CMCC-CM,Baseline no CC,2030,Coal,25096.798,28285.598,-3188.8,-0.113
CMCC-CM,Baseline no CC,2030,Gas,333351.4908,331641.5448,1709.946042,0.005
CMCC-CM,Baseline no CC,2030,Geothermal,5684.382,5684.382,0,0
CMCC-CM,Baseline no CC,2030,Solar,312757.4501,299685.265,13072.18515,0.044
CMCC-CM,Baseline no CC,2030,Uranium,42763,42763,0,0
CMCC-CM,Baseline no CC,2030,Waste Heat,683.9234,710.0567,-26.1333,-0.037
CMCC-CM,Baseline no CC,2030,Water,232445.4558,240572.7791,-8127.3233,-0.034
CMCC-CM,Baseline no CC,2030,Wind,123305.1829,112271.1872,11033.99573,0.098
CMCC-CM,Baseline no CC,2035,Battery Storage,10467.03715,23673.80803,-13206.77088,-0.558
CMCC-CM,Baseline no CC,2035,Biomass,16103.09977,16020.9467,82.15307,0.005
CMCC-CM,Baseline no CC,2035,Coal,0,3911.8,-3911.8,-1
CMCC-CM,Baseline no CC,2035,Gas,311268.2398,311595.2392,-326.9994106,-0.001
CMCC-CM,Baseline no CC,2035,Geothermal,2322.31,2322.31,0,0
CMCC-CM,Baseline no CC,2035,Solar,352540.7767,370963.234,-18422.45733,-0.05
CMCC-CM,Baseline no CC,2035,Uranium,42763,42763,0,0
CMCC-CM,Baseline no CC,2035,Waste Heat,362.3603,373.5922,-11.2319,-0.03
CMCC-CM,Baseline no CC,2035,Water,245594.6722,240572.7791,5021.8931,0.021
CMCC-CM,Baseline no CC,2035,Wind,213449.7954,183113.07,30336.72541,0.166
CMCC-CM,Baseline no CC,2040,Battery Storage,75835.59845,60300.34808,15535.25037,0.258
CMCC-CM,Baseline no CC,2040,Biomass,16704.14897,16557.7686,146.38037,0.009
CMCC-CM,Baseline no CC,2040,Gas,213752.722,217326.721,-3573.99899,-0.016
CMCC-CM,Baseline no CC,2040,Solar,445055.928,444994.35,61.57799579,0
CMCC-CM,Baseline no CC,2040,Uranium,42880,42880,0,0
CMCC-CM,Baseline no CC,2040,Waste Heat,131.8696,147.3505,-15.4809,-0.105
CMCC-CM,Baseline no CC,2040,Water,249991.4779,241236.2242,8755.2537,0.036
CMCC-CM,Baseline no CC,2040,Wind,338675.1775,323499.462,15175.71551,0.047
CMCC-CM,Baseline no CC,2045,Battery Storage,227556.4575,174976.884,52579.57355,0.3
CMCC-CM,Baseline no CC,2045,Biomass,16448.85009,16448.4871,0.36299,0
CMCC-CM,Baseline no CC,2045,Gas,93545.70434,93571.69649,-25.99215263,0
CMCC-CM,Baseline no CC,2045,Solar,725796.666,617190.51,108606.156,0.176
CMCC-CM,Baseline no CC,2045,Uranium,42763,42763,0,0
CMCC-CM,Baseline no CC,2045,Waste Heat,125.5561,110.882,14.6741,0.132
CMCC-CM,Baseline no CC,2045,Water,255604.4417,240572.7791,15031.6626,0.062
CMCC-CM,Baseline no CC,2045,Wind,336310.7143,427622.521,-91311.80669,-0.214
CMCC-CM,Baseline no CC,2050,Battery Storage,368377.8039,327780.741,40597.06294,0.124
CMCC-CM,Baseline no CC,2050,Biomass,15343.89909,15343.5411,0.35799,0
CMCC-CM,Baseline no CC,2050,Solar,935380.2427,866977.566,68402.67666,0.079
CMCC-CM,Baseline no CC,2050,Uranium,42763,42763,0,0
CMCC-CM,Baseline no CC,2050,Waste Heat,26.9116,31.433,-4.5214,-0.144
CMCC-CM,Baseline no CC,2050,Water,257467.6483,240572.7791,16894.8692,0.07
CMCC-CM,Baseline no CC,2050,Wind,395591.2081,450457.851,-54866.6429,-0.122
CMCC-CMS,Baseline no CC,2030,Battery Storage,3626.3417,412.3679,3213.9738,7.794
CMCC-CMS,Baseline no CC,2030,Biomass,15111.8223,14944.9666,166.8557,0.011
CMCC-CMS,Baseline no CC,2030,Coal,23634.398,28285.598,-4651.2,-0.164
CMCC-CMS,Baseline no CC,2030,Gas,345641.0771,331641.5448,13999.53229,0.042
CMCC-CMS,Baseline no CC,2030,Geothermal,5684.382,5684.382,0,0
CMCC-CMS,Baseline no CC,2030,Solar,278399.962,299685.265,-21285.303,-0.071
CMCC-CMS,Baseline no CC,2030,Uranium,42763,42763,0,0
CMCC-CMS,Baseline no CC,2030,Waste Heat,703.9677,710.0567,-6.089,-0.009
CMCC-CMS,Baseline no CC,2030,Water,240647.4596,240572.7791,74.6805,0
CMCC-CMS,Baseline no CC,2030,Wind,137091.673,112271.1872,24820.4858,0.221
CMCC-CMS,Baseline no CC,2035,Battery Storage,9167.1649,23673.80803,-14506.64313,-0.613
CMCC-CMS,Baseline no CC,2035,Biomass,15896.5418,16020.9467,-124.4049,-0.008
CMCC-CMS,Baseline no CC,2035,Coal,340.9,3911.8,-3570.9,-0.913
CMCC-CMS,Baseline no CC,2035,Gas,313811.8986,311595.2392,2216.659344,0.007
CMCC-CMS,Baseline no CC,2035,Geothermal,2322.31,2322.31,0,0
CMCC-CMS,Baseline no CC,2035,Solar,315486.9483,370963.234,-55476.2857,-0.15
CMCC-CMS,Baseline no CC,2035,Uranium,42763,42763,0,0
CMCC-CMS,Baseline no CC,2035,Waste Heat,389.0718,373.5922,15.4796,0.041
CMCC-CMS,Baseline no CC,2035,Water,251066.5403,240572.7791,10493.7612,0.044
CMCC-CMS,Baseline no CC,2035,Wind,240475.358,183113.07,57362.288,0.313
CMCC-CMS,Baseline no CC,2040,Battery Storage,99688.66,60300.34808,39388.31192,0.653
CMCC-CMS,Baseline no CC,2040,Biomass,16853.4172,16557.7686,295.6486,0.018
CMCC-CMS,Baseline no CC,2040,Gas,214695.791,217326.721,-2630.929942,-0.012
CMCC-CMS,Baseline no CC,2040,Solar,509771.751,444994.35,64777.401,0.146
CMCC-CMS,Baseline no CC,2040,Uranium,42880,42880,0,0
CMCC-CMS,Baseline no CC,2040,Waste Heat,140.1977,147.3505,-7.1528,-0.049
CMCC-CMS,Baseline no CC,2040,Water,245293.0437,241236.2242,4056.8195,0.017
CMCC-CMS,Baseline no CC,2040,Wind,289105.114,323499.462,-34394.348,-0.106
CMCC-CMS,Baseline no CC,2045,Battery Storage,218787.38,174976.884,43810.496,0.25
CMCC-CMS,Baseline no CC,2045,Biomass,16545.6095,16448.4871,97.1224,0.006
CMCC-CMS,Baseline no CC,2045,Gas,93449.83196,93571.69649,-121.864531,-0.001
CMCC-CMS,Baseline no CC,2045,Solar,692769,617190.51,75578.49,0.122
CMCC-CMS,Baseline no CC,2045,Uranium,42763,42763,0,0
CMCC-CMS,Baseline no CC,2045,Waste Heat,124.581,110.882,13.699,0.124
CMCC-CMS,Baseline no CC,2045,Water,239112.0244,240572.7791,-1460.7547,-0.006
CMCC-CMS,Baseline no CC,2045,Wind,388315.022,427622.521,-39307.499,-0.092
CMCC-CMS,Baseline no CC,2050,Battery Storage,380540.39,327780.741,52759.649,0.161
CMCC-CMS,Baseline no CC,2050,Biomass,15380.8145,15343.5411,37.2734,0.002
CMCC-CMS,Baseline no CC,2050,Solar,974988.549,866977.566,108010.983,0.125
CMCC-CMS,Baseline no CC,2050,Uranium,42763,42763,0,0
CMCC-CMS,Baseline no CC,2050,Waste Heat,32.1256,31.433,0.6926,0.022
CMCC-CMS,Baseline no CC,2050,Water,247605.7452,240572.7791,7032.9661,0.029
CMCC-CMS,Baseline no CC,2050,Wind,370401.082,450457.851,-80056.769,-0.178
CNRM-CM5,Baseline no CC,2030,Battery Storage,1649.906658,412.3679,1237.538758,3.001
CNRM-CM5,Baseline no CC,2030,Biomass,14691.21053,14944.9666,-253.7560748,-0.017
CNRM-CM5,Baseline no CC,2030,Coal,31837.798,28285.598,3552.2,0.126
CNRM-CM5,Baseline no CC,2030,Gas,317499.8324,331641.5448,-14141.71237,-0.043
CNRM-CM5,Baseline no CC,2030,Geothermal,5684.382,5684.382,0,0
CNRM-CM5,Baseline no CC,2030,Solar,290765.3121,299685.265,-8919.952892,-0.03
CNRM-CM5,Baseline no CC,2030,Uranium,42763,42763,0,0
CNRM-CM5,Baseline no CC,2030,Waste Heat,707.6305,710.0567,-2.4262,-0.003
CNRM-CM5,Baseline no CC,2030,Water,240098.0396,240572.7791,-474.7395,-0.002
CNRM-CM5,Baseline no CC,2030,Wind,134758.3272,112271.1872,22487.13995,0.2
CNRM-CM5,Baseline no CC,2035,Battery Storage,8933.086613,23673.80803,-14740.72142,-0.623
CNRM-CM5,Baseline no CC,2035,Biomass,16474.82917,16020.9467,453.88247,0.028
CNRM-CM5,Baseline no CC,2035,Coal,0,3911.8,-3911.8,-1
CNRM-CM5,Baseline no CC,2035,Gas,312445.4022,311595.2392,850.1629272,0.003
CNRM-CM5,Baseline no CC,2035,Geothermal,2322.31,2322.31,0,0
CNRM-CM5,Baseline no CC,2035,Solar,336765.1217,370963.234,-34198.11226,-0.092
CNRM-CM5,Baseline no CC,2035,Uranium,42763,42763,0,0
CNRM-CM5,Baseline no CC,2035,Waste Heat,353.4431,373.5922,-20.1491,-0.054
CNRM-CM5,Baseline no CC,2035,Water,229829.6276,240572.7791,-10743.1515,-0.045
CNRM-CM5,Baseline no CC,2035,Wind,228436.4583,183113.07,45323.38827,0.248
CNRM-CM5,Baseline no CC,2040,Battery Storage,44600.81482,60300.34808,-15699.53326,-0.26
CNRM-CM5,Baseline no CC,2040,Biomass,16130.6012,16557.7686,-427.1674,-0.026
CNRM-CM5,Baseline no CC,2040,Gas,214167.5074,217326.721,-3159.213532,-0.015
CNRM-CM5,Baseline no CC,2040,Solar,378893.8276,444994.35,-66100.52241,-0.149
CNRM-CM5,Baseline no CC,2040,Uranium,42880,42880,0,0
CNRM-CM5,Baseline no CC,2040,Waste Heat,151.1144,147.3505,3.7639,0.026
CNRM-CM5,Baseline no CC,2040,Water,233782.5153,241236.2242,-7453.7089,-0.031
CNRM-CM5,Baseline no CC,2040,Wind,403539.1601,323499.462,80039.69815,0.247
CNRM-CM5,Baseline no CC,2045,Battery Storage,154097.5609,174976.884,-20879.32313,-0.119
CNRM-CM5,Baseline no CC,2045,Biomass,16339.3221,16448.4871,-109.165,-0.007
CNRM-CM5,Baseline no CC,2045,Gas,93479.20021,93571.69649,-92.49628084,-0.001
CNRM-CM5,Baseline no CC,2045,Solar,555693.4315,617190.51,-61497.07853,-0.1
CNRM-CM5,Baseline no CC,2045,Uranium,42763,42763,0,0
CNRM-CM5,Baseline no CC,2045,Waste Heat,105.0351,110.882,-5.8469,-0.053
CNRM-CM5,Baseline no CC,2045,Water,235506.3022,240572.7791,-5066.4769,-0.021
CNRM-CM5,Baseline no CC,2045,Wind,500989.5952,427622.521,73367.07421,0.172
CNRM-CM5,Baseline no CC,2050,Battery Storage,360690.146,327780.741,32909.405,0.1
CNRM-CM5,Baseline no CC,2050,Biomass,15145.8851,15343.5411,-197.656,-0.013
CNRM-CM5,Baseline no CC,2050,Solar,929899.841,866977.566,62922.27496,0.073
CNRM-CM5,Baseline no CC,2050,Uranium,42763,42763,0,0
CNRM-CM5,Baseline no CC,2050,Waste Heat,22.2009,31.433,-9.2321,-0.294
CNRM-CM5,Baseline no CC,2050,Water,235615.9871,240572.7791,-4956.792,-0.021
CNRM-CM5,Baseline no CC,2050,Wind,412421.8493,450457.851,-38036.00172,-0.084
CanESM,Baseline no CC,2030,Battery Storage,1228.7866,412.3679,816.4187,1.98
