Scenario,Baseline_Scenario,period,gen_energy_source,Energy_GWh_typical_yr,Energy_GWh_typical_yr_Baseline,Delta_AnnualGen_GWh,AnnualGen_perc_change_from_baseline
bcc-csm1-1,Baseline no CC,2030,Wind,153125.1619,112271.1872,40853.9747,0.364
bcc-csm1-1,Baseline no CC,2035,Battery Storage,9601.828,23673.80803,-14071.98003,-0.594
bcc-csm1-1,Baseline no CC,2035,Biomass,16124.03428,16020.9467,103.08758,0.006
bcc-csm1-1,Baseline no CC,2035,Coal,0,3911.8,-3911.8,-1
bcc-csm1-1,Baseline no CC,2035,Gas,313960.4736,311595.2392,2365.234388,0.008
bcc-csm1-1,Baseline no CC,2035,Geothermal,2322.31,2322.31,0,0
bcc-csm1-1,Baseline no CC,2035,Solar,316216.405,370963.234,-54746.829,-0.148
bcc-csm1-1,Baseline no CC,2035,Uranium,42763,42763,0,0
bcc-csm1-1,Baseline no CC,2035,Waste Heat,382.3882,373.5922,8.796,0.024
bcc-csm1-1,Baseline no CC,2035,Water,201015.2238,240572.7791,-39557.5553,-0.164
bcc-csm1-1,Baseline no CC,2035,Wind,288634.27,183113.07,105521.2,0.576
bcc-csm1-1,Baseline no CC,2040,Battery Storage,72693.149,60300.34808,12392.80092,0.206
bcc-csm1-1,Baseline no CC,2040,Biomass,16727.2487,16557.7686,169.4801,0.01
bcc-csm1-1,Baseline no CC,2040,Gas,215902.9532,217326.721,-1423.767782,-0.007
bcc-csm1-1,Baseline no CC,2040,Solar,447251.9,444994.35,2257.55,0.005
bcc-csm1-1,Baseline no CC,2040,Uranium,42880,42880,0,0
bcc-csm1-1,Baseline no CC,2040,Waste Heat,128.8953,147.3505,-18.4552,-0.125
bcc-csm1-1,Baseline no CC,2040,Water,216250.9559,241236.2242,-24985.2683,-0.104
bcc-csm1-1,Baseline no CC,2040,Wind,369071.186,323499.462,45571.724,0.141
bcc-csm1-1,Baseline no CC,2045,Battery Storage,172014.894,174976.884,-2961.99,-0.017
bcc-csm1-1,Baseline no CC,2045,Biomass,16419.8551,16448.4871,-28.632,-0.002
bcc-csm1-1,Baseline no CC,2045,Gas,93160.11957,93571.69649,-411.576918,-0.004
bcc-csm1-1,Baseline no CC,2045,Solar,594834.829,617190.51,-22355.681,-0.036
bcc-csm1-1,Baseline no CC,2045,Uranium,42763,42763,0,0
bcc-csm1-1,Baseline no CC,2045,Waste Heat,105.6575,110.882,-5.2245,-0.047
bcc-csm1-1,Baseline no CC,2045,Water,227453.7648,240572.7791,-13119.0143,-0.055
bcc-csm1-1,Baseline no CC,2045,Wind,479668.106,427622.521,52045.585,0.122
bcc-csm1-1,Baseline no CC,2050,Battery Storage,317687.4,327780.741,-10093.341,-0.031
bcc-csm1-1,Baseline no CC,2050,Biomass,15239.5061,15343.5411,-104.035,-0.007
bcc-csm1-1,Baseline no CC,2050,Solar,846242.87,866977.566,-20734.69602,-0.024
bcc-csm1-1,Baseline no CC,2050,Uranium,42763,42763,0,0
bcc-csm1-1,Baseline no CC,2050,Waste Heat,30.8864,31.433,-0.5466,-0.017
bcc-csm1-1,Baseline no CC,2050,Water,220499.5312,240572.7791,-20073.2479,-0.083
bcc-csm1-1,Baseline no CC,2050,Wind,506948.021,450457.851,56490.17,0.125
