Scenario,PERIOD,Tx_type,MW_Tx,Baseline_Scenario,MW_Tx_baseline,Delta_MW_Tx,Tx_perc_change_from_baseline
CCSM,2040,Total Tx Nameplate Capacity,448420.3409,Baseline no CC,448558.19,-137.8491458,0
CCSM,2045,Total Tx Nameplate Capacity,462365.8111,Baseline no CC,462509.55,-143.738946,0
CCSM,2050,Total Tx Nameplate Capacity,471367.1912,Baseline no CC,481162.59,-9795.398772,-0.02
CESM1-BGC,2030,Total Tx Nameplate Capacity,406313.3952,Baseline no CC,405855.1,458.2951749,0.001
CESM1-BGC,2035,Total Tx Nameplate Capacity,414913.5009,Baseline no CC,417412.89,-2499.389115,-0.006
CESM1-BGC,2040,Total Tx Nameplate Capacity,433572.2104,Baseline no CC,448558.19,-14985.97963,-0.033
CESM1-BGC,2045,Total Tx Nameplate Capacity,471267.0141,Baseline no CC,462509.55,8757.464146,0.019
CESM1-BGC,2050,Total Tx Nameplate Capacity,484965.1292,Baseline no CC,481162.59,3802.539227,0.008
CESM1-CAM5,2030,Total Tx Nameplate Capacity,399816.06,Baseline no CC,405855.1,-6039.04,-0.015
CESM1-CAM5,2035,Total Tx Nameplate Capacity,409209.611,Baseline no CC,417412.89,-8203.279,-0.02
CESM1-CAM5,2040,Total Tx Nameplate Capacity,442595.641,Baseline no CC,448558.19,-5962.549,-0.013
CESM1-CAM5,2045,Total Tx Nameplate Capacity,470205.701,Baseline no CC,462509.55,7696.151,0.017
CESM1-CAM5,2050,Total Tx Nameplate Capacity,494253.411,Baseline no CC,481162.59,13090.821,0.027
CMCC-CM,2030,Total Tx Nameplate Capacity,403023.42,Baseline no CC,405855.1,-2831.68,-0.007
CMCC-CM,2035,Total Tx Nameplate Capacity,415787.845,Baseline no CC,417412.89,-1625.045,-0.004
CMCC-CM,2040,Total Tx Nameplate Capacity,438288.785,Baseline no CC,448558.19,-10269.40498,-0.023
CMCC-CM,2045,Total Tx Nameplate Capacity,440050.685,Baseline no CC,462509.55,-22458.86496,-0.049
CMCC-CM,2050,Total Tx Nameplate Capacity,443929.5851,Baseline no CC,481162.59,-37233.00495,-0.077
CMCC-CMS,2030,Total Tx Nameplate Capacity,400328.2,Baseline no CC,405855.1,-5526.9,-0.014
CMCC-CMS,2035,Total Tx Nameplate Capacity,409096.02,Baseline no CC,417412.89,-8316.87,-0.02
CMCC-CMS,2040,Total Tx Nameplate Capacity,416522.25,Baseline no CC,448558.19,-32035.94,-0.071
CMCC-CMS,2045,Total Tx Nameplate Capacity,439115.72,Baseline no CC,462509.55,-23393.83,-0.051
CMCC-CMS,2050,Total Tx Nameplate Capacity,449642.92,Baseline no CC,481162.59,-31519.67,-0.066
CNRM-CM5,2030,Total Tx Nameplate Capacity,401131.7,Baseline no CC,405855.1,-4723.4,-0.012
CNRM-CM5,2035,Total Tx Nameplate Capacity,406464.28,Baseline no CC,417412.89,-10948.61,-0.026
CNRM-CM5,2040,Total Tx Nameplate Capacity,426774.32,Baseline no CC,448558.19,-21783.87,-0.049
CNRM-CM5,2045,Total Tx Nameplate Capacity,466759.586,Baseline no CC,462509.55,4250.036,0.009
CNRM-CM5,2050,Total Tx Nameplate Capacity,478228.886,Baseline no CC,481162.59,-2933.703974,-0.006
CanESM,2030,Total Tx Nameplate Capacity,406989.33,Baseline no CC,405855.1,1134.23,0.003
CanESM,2035,Total Tx Nameplate Capacity,414403.03,Baseline no CC,417412.89,-3009.86,-0.007
CanESM,2040,Total Tx Nameplate Capacity,442590.22,Baseline no CC,448558.19,-5967.97,-0.013
CanESM,2045,Total Tx Nameplate Capacity,465132.554,Baseline no CC,462509.55,2623.004,0.006
CanESM,2050,Total Tx Nameplate Capacity,478746.004,Baseline no CC,481162.59,-2416.585976,-0.005
GFDL-CM3,2030,Total Tx Nameplate Capacity,401796.2,Baseline no CC,405855.1,-4058.89998,-0.01
GFDL-CM3,2035,Total Tx Nameplate Capacity,410454.1001,Baseline no CC,417412.89,-6958.789949,-0.017
GFDL-CM3,2040,Total Tx Nameplate Capacity,441130.11,Baseline no CC,448558.19,-7428.079969,-0.017
GFDL-CM3,2045,Total Tx Nameplate Capacity,467515.0801,Baseline no CC,462509.55,5005.530061,0.011
GFDL-CM3,2050,Total Tx Nameplate Capacity,491510.3003,Baseline no CC,481162.59,10347.71029,0.022
GFDL-ESM2M,2030,Total Tx Nameplate Capacity,401444.39,Baseline no CC,405855.1,-4410.71,-0.011
GFDL-ESM2M,2035,Total Tx Nameplate Capacity,409932.43,Baseline no CC,417412.89,-7480.46,-0.018
GFDL-ESM2M,2040,Total Tx Nameplate Capacity,428333.059,Baseline no CC,448558.19,-20225.131,-0.045
GFDL-ESM2M,2045,Total Tx Nameplate Capacity,439043.559,Baseline no CC,462509.55,-23465.99097,-0.051
GFDL-ESM2M,2050,Total Tx Nameplate Capacity,470200.7121,Baseline no CC,481162.59,-10961.87792,-0.023
HadGEM2-CC,2030,Total Tx Nameplate Capacity,406181,Baseline no CC,405855.1,325.9,0.001
HadGEM2-CC,2035,Total Tx Nameplate Capacity,421109.52,Baseline no CC,417412.89,3696.63,0.009
HadGEM2-CC,2040,Total Tx Nameplate Capacity,441677.37,Baseline no CC,448558.19,-6880.82,-0.015
HadGEM2-CC,2045,Total Tx Nameplate Capacity,449015.94,Baseline no CC,462509.55,-13493.61,-0.029
HadGEM2-CC,2050,Total Tx Nameplate Capacity,461054.04,Baseline no CC,481162.59,-20108.55,-0.042
HadGEM2-ES,2030,Total Tx Nameplate Capacity,404489.1752,Baseline no CC,405855.1,-1365.9248,-0.003
HadGEM2-ES,2035,Total Tx Nameplate Capacity,408318.9752,Baseline no CC,417412.89,-9093.9148,-0.022
HadGEM2-ES,2040,Total Tx Nameplate Capacity,435282.15,Baseline no CC,448558.19,-13276.04,-0.03
HadGEM2-ES,2045,Total Tx Nameplate Capacity,462203.39,Baseline no CC,462509.55,-306.16,-0.001
HadGEM2-ES,2050,Total Tx Nameplate Capacity,472725.49,Baseline no CC,481162.59,-8437.1,-0.018
