Scenario,PERIOD,Tx_type,MW_Tx,Baseline_Scenario,MW_Tx_baseline,Delta_MW_Tx,Tx_perc_change_from_baseline
GFDL-CM3,2050,Existing Tx Capacity,467515.4181,Baseline no CC,462510.427,5004.991077,0.011
GFDL-ESM2M,2030,Existing Tx Capacity,397135.03,Baseline no CC,397134.995,0.035,0
GFDL-ESM2M,2035,Existing Tx Capacity,401444.3,Baseline no CC,405855.11,-4410.81,-0.011
GFDL-ESM2M,2040,Existing Tx Capacity,409932.353,Baseline no CC,417412.8031,-7480.4501,-0.018
GFDL-ESM2M,2045,Existing Tx Capacity,428333.219,Baseline no CC,448557.992,-20224.773,-0.045
GFDL-ESM2M,2050,Existing Tx Capacity,439043.86,Baseline no CC,462510.427,-23466.56697,-0.051
HadGEM2-CC,2030,Existing Tx Capacity,397135.02,Baseline no CC,397134.995,0.025,0
HadGEM2-CC,2035,Existing Tx Capacity,406180.998,Baseline no CC,405855.11,325.888,0.001
HadGEM2-CC,2040,Existing Tx Capacity,421109.4179,Baseline no CC,417412.8031,3696.6148,0.009
HadGEM2-CC,2045,Existing Tx Capacity,441677.456,Baseline no CC,448557.992,-6880.536,-0.015
HadGEM2-CC,2050,Existing Tx Capacity,449015.891,Baseline no CC,462510.427,-13494.536,-0.029
HadGEM2-ES,2030,Existing Tx Capacity,397134.96,Baseline no CC,397134.995,-0.035,0
HadGEM2-ES,2035,Existing Tx Capacity,404489.2752,Baseline no CC,405855.11,-1365.8348,-0.003
HadGEM2-ES,2040,Existing Tx Capacity,408318.854,Baseline no CC,417412.8031,-9093.9491,-0.022
HadGEM2-ES,2045,Existing Tx Capacity,435282.55,Baseline no CC,448557.992,-13275.442,-0.03
HadGEM2-ES,2050,Existing Tx Capacity,462203.57,Baseline no CC,462510.427,-306.857,-0.001
MIROC5,2030,Existing Tx Capacity,397135,Baseline no CC,397134.995,0.005,0
MIROC5,2035,Existing Tx Capacity,402312.46,Baseline no CC,405855.11,-3542.65,-0.009
MIROC5,2040,Existing Tx Capacity,410772.5729,Baseline no CC,417412.8031,-6640.23025,-0.016
MIROC5,2045,Existing Tx Capacity,451547.9089,Baseline no CC,448557.992,2989.91685,0.007
MIROC5,2050,Existing Tx Capacity,469687.2609,Baseline no CC,462510.427,7176.83385,0.016
MPI-ESM-LR,2030,Existing Tx Capacity,397134.92,Baseline no CC,397134.995,-0.075,0
MPI-ESM-LR,2035,Existing Tx Capacity,402179.07,Baseline no CC,405855.11,-3676.039969,-0.009
MPI-ESM-LR,2040,Existing Tx Capacity,407100.67,Baseline no CC,417412.8031,-10312.13308,-0.025
MPI-ESM-LR,2045,Existing Tx Capacity,436650.6391,Baseline no CC,448557.992,-11907.35294,-0.027
MPI-ESM-LR,2050,Existing Tx Capacity,453840.4611,Baseline no CC,462510.427,-8669.965922,-0.019
bcc-csm1-1,2030,Existing Tx Capacity,397134.98,Baseline no CC,397134.995,-0.015,0
bcc-csm1-1,2035,Existing Tx Capacity,407018.48,Baseline no CC,405855.11,1163.37,0.003
bcc-csm1-1,2040,Existing Tx Capacity,415733.4579,Baseline no CC,417412.8031,-1679.3452,-0.004
bcc-csm1-1,2045,Existing Tx Capacity,436362.61,Baseline no CC,448557.992,-12195.382,-0.027
bcc-csm1-1,2050,Existing Tx Capacity,470190.49,Baseline no CC,462510.427,7680.063,0.017
