"load_zone","ts_period","energy_category","Energy_GWh_typical_yr","Scenario","Energy_GWh_typical_yr_Baseline","Baseline_Scenario","Delta_AnnualGen_GWh","AnnualGen_perc_change_from_baseline","climate_impacts_included","energy_category_disagg"
"AZ_APS_E",2045,"zone_demand_GWh",3200.79335,"MPI-ESM-LR",3199.47832,"Baseline no CC",1.31503000000021,0,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2045,"zone_demand_GWh",3199.58783,"bcc-csm1-1",3199.47832,"Baseline no CC",0.109510000000228,0,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2050,"zone_demand_GWh",3340.09623,"ACCESS-1.0",3339.75202,"Baseline no CC",0.344210000000203,0,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2050,"zone_demand_GWh",3339.61991,"CCSM",3339.75202,"Baseline no CC",-0.132109999999557,0,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2050,"zone_demand_GWh",3339.65851,"CESM1-BGC",3339.75202,"Baseline no CC",-0.0935099999996964,0,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2050,"zone_demand_GWh",3338.55817,"CESM1-CAM5",3339.75202,"Baseline no CC",-1.19385000000011,0,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2050,"zone_demand_GWh",3340.98229,"CMCC-CM",3339.75202,"Baseline no CC",1.23027000000002,0,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2050,"zone_demand_GWh",3340.80892,"CMCC-CMS",3339.75202,"Baseline no CC",1.05690000000004,0,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2050,"zone_demand_GWh",3330.28889,"CNRM-CM5",3339.75202,"Baseline no CC",-9.46312999999964,-0.003,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2050,"zone_demand_GWh",3338.51765,"CanESM",3339.75202,"Baseline no CC",-1.23437000000013,0,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2050,"zone_demand_GWh",3339.57592,"GFDL-CM3",3339.75202,"Baseline no CC",-0.176100000000133,0,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2050,"zone_demand_GWh",3333.11487,"GFDL-ESM2M",3339.75202,"Baseline no CC",-6.63714999999956,-0.002,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2050,"zone_demand_GWh",3339.24734,"HadGEM2-CC",3339.75202,"Baseline no CC",-0.504680000000008,0,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2050,"zone_demand_GWh",3340.56594,"HadGEM2-ES",3339.75202,"Baseline no CC",0.813920000000053,0,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2050,"zone_demand_GWh",3340.34035,"MIROC5",3339.75202,"Baseline no CC",0.588330000000042,0,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2050,"zone_demand_GWh",3340.3919,"MPI-ESM-LR",3339.75202,"Baseline no CC",0.639880000000176,0,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2050,"zone_demand_GWh",3339.33872,"bcc-csm1-1",3339.75202,"Baseline no CC",-0.413299999999708,0,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2030,"zone_demand_GWh",8028.99767,"ACCESS-1.0",7970.68064,"Baseline no CC",58.3170300000002,0.007,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2030,"zone_demand_GWh",8018.56401,"CCSM",7970.68064,"Baseline no CC",47.8833700000005,0.006,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2030,"zone_demand_GWh",8017.95681,"CESM1-BGC",7970.68064,"Baseline no CC",47.2761700000001,0.006,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2030,"zone_demand_GWh",8026.26377,"CESM1-CAM5",7970.68064,"Baseline no CC",55.58313,0.007,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2030,"zone_demand_GWh",8031.56061,"CMCC-CM",7970.68064,"Baseline no CC",60.8799700000009,0.008,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2030,"zone_demand_GWh",8017.85298,"CMCC-CMS",7970.68064,"Baseline no CC",47.172340000001,0.006,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2030,"zone_demand_GWh",7967.76594,"CNRM-CM5",7970.68064,"Baseline no CC",-2.91469999999936,0,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2030,"zone_demand_GWh",8018.24887,"CanESM",7970.68064,"Baseline no CC",47.5682300000008,0.006,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2030,"zone_demand_GWh",8018.5792,"GFDL-CM3",7970.68064,"Baseline no CC",47.8985600000005,0.006,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2030,"zone_demand_GWh",7994.14636,"GFDL-ESM2M",7970.68064,"Baseline no CC",23.4657200000011,0.003,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2030,"zone_demand_GWh",8029.7107,"HadGEM2-CC",7970.68064,"Baseline no CC",59.030060000001,0.007,"Hydropower and Water Load Scenarios","Water Load"
